Purchase_Date,Household_ID,Category,Item,Quantity,Price
26.1.26,1001,Food Items,Snacks,9,634.78
20.7.25,1001,Grocery,Vegetables,13,908.9
3.8.25,1001,Bills,WiFi,19,99.25
1.1.26,1001,Grocery,Rice,19,508.97
7.1.26,1001,Bills,Water,8,690.61
2.10.25,1001,Food Items,Pizza,18,77.29
20.6.25,1001,Grocery,Flour,10,618.63
28.9.25,1001,Grocery,Rice,9,780.07
4.9.25,1002,Food Items,Burger,13,430.34
6.7.25,1002,Food Items,Juice,8,806.62
20.3.25,1002,Food Items,Biscuits,1,618.76
24.4.25,1002,Food Items,Biscuits,13,664.24
26.5.25,1002,Food Items,Burger,20,925.63
24.9.25,1002,Grocery,Oil,16,778.39
14.8.25,1002,Bills,Mobile Recharge,12,883.51
30.12.25,1002,Food Items,Snacks,8,184.83
25.5.25,1002,Other Essentials,Shampoo,12,654.42
14.12.25,1003,Food Items,Burger,8,343.27
9.9.25,1003,Other Essentials,Detergent,18,34.19
26.2.25,1003,Grocery,Vegetables,5,730.4
25.7.25,1003,Bills,Water,8,689.63
24.7.25,1003,Grocery,Milk,13,103.52
17.2.26,1003,Bills,Electricity,4,335.38
30.5.25,1003,Other Essentials,Detergent,18,40.78
7.9.25,1003,Food Items,Biscuits,6,653.56
20.11.25,1003,Grocery,Milk,4,400.61
31.3.25,1003,Bills,Gas Cylinder,3,590.5
13.11.25,1004,Grocery,Milk,12,807.76
13.5.25,1004,Grocery,Oil,14,106.92
13.9.25,1004,Grocery,Sugar,8,820.02
18.4.25,1004,Bills,Mobile Recharge,2,859.33
16.8.25,1004,Other Essentials,Shampoo,16,677.02
22.4.25,1004,Food Items,Pizza,5,677.17
6.7.25,1004,Food Items,Sweets,15,68.74
7.9.25,1004,Bills,Water,20,650.22
24.11.25,1004,Food Items,Juice,17,387.24
23.2.26,1004,Grocery,Flour,20,377.65
26.2.25,1005,Food Items,Burger,9,93.03
3.6.25,1005,Other Essentials,Toothpaste,7,306.22
12.11.25,1005,Bills,Water,9,714.74
1.1.26,1005,Other Essentials,Soap,4,875.75
2.11.25,1005,Grocery,Oil,11,270.25
3.6.25,1005,Bills,WiFi,11,157.88
13.6.25,1005,Other Essentials,Toothpaste,2,752.51
1.5.25,1005,Bills,WiFi,9,272.14
14.10.25,1005,Other Essentials,Detergent,12,667.11
20.3.25,1005,Grocery,Oil,6,629.87
2.12.25,1006,Food Items,Juice,12,509.84
27.1.26,1006,Other Essentials,Shampoo,5,765.73
27.6.25,1006,Other Essentials,Detergent,4,165.71
31.5.25,1006,Other Essentials,Soap,19,372.62
30.3.25,1006,Food Items,Biscuits,15,412.99
11.1.26,1006,Bills,Electricity,8,605.28
22.6.25,1006,Bills,Electricity,8,159.93
25.4.25,1006,Grocery,Milk,18,265.56
30.1.26,1006,Food Items,Snacks,16,905.9
19.5.25,1006,Other Essentials,Medicine,9,929.09
18.12.25,1006,Grocery,Eggs,8,994.04
6.1.26,1006,Food Items,Snacks,13,795.69
20.7.25,1006,Food Items,Biscuits,3,525.13
13.6.25,1006,Other Essentials,Detergent,2,564.88
15.10.25,1007,Grocery,Milk,8,393.64
19.3.25,1007,Bills,WiFi,11,394.02
27.12.25,1007,Bills,Gas Cylinder,8,220.06
9.1.26,1007,Bills,WiFi,19,813.41
29.6.25,1007,Grocery,Vegetables,8,249.42
5.11.25,1007,Food Items,Burger,12,232.27
16.4.25,1007,Bills,WiFi,20,892.36
2.12.25,1007,Food Items,Snacks,20,179.9
22.8.25,1007,Other Essentials,Toothpaste,7,902.5
13.11.25,1007,Bills,Gas Cylinder,11,433.66
9.6.25,1008,Food Items,Pizza,8,844.64
18.1.26,1008,Food Items,Juice,12,708.49
17.10.25,1008,Grocery,Vegetables,17,271.52
22.12.25,1008,Bills,Gas Cylinder,19,323.56
2.9.25,1008,Grocery,Oil,6,141.23
16.8.25,1008,Grocery,Flour,15,618.24
23.5.25,1008,Bills,WiFi,8,591.42
29.7.25,1008,Other Essentials,Shampoo,8,357.93
26.6.25,1009,Food Items,Pizza,3,965.52
30.1.26,1009,Grocery,Sugar,9,501.77
4.5.25,1009,Food Items,Pizza,4,513.71
24.5.25,1009,Bills,Water,15,436.28
18.12.25,1009,Food Items,Snacks,5,657.96
13.10.25,1009,Food Items,Biscuits,8,791.4
4.10.25,1009,Food Items,Burger,15,684.06
8.3.25,1009,Bills,Water,9,108.77
26.7.25,1009,Bills,WiFi,20,642.32
26.7.25,1010,Bills,Mobile Recharge,15,190.09
2.5.25,1010,Bills,Electricity,6,355.85
11.8.25,1010,Other Essentials,Medicine,9,94.37
6.8.25,1010,Food Items,Snacks,3,874.3
16.4.25,1010,Other Essentials,Toothpaste,7,217.26
26.3.25,1010,Grocery,Eggs,4,543.35
12.10.25,1010,Grocery,Milk,13,69.11
30.5.25,1010,Other Essentials,Medicine,18,997.78
16.1.26,1010,Grocery,Sugar,14,156.84
11.10.25,1010,Grocery,Oil,16,194.54
12.5.25,1010,Grocery,Vegetables,14,423.52
16.9.25,1010,Grocery,Eggs,2,413.69
24.7.25,1010,Grocery,Oil,19,918.03
20.4.25,1010,Other Essentials,Toothpaste,3,428.91
1.12.25,1011,Other Essentials,Detergent,20,933.23
6.8.25,1011,Other Essentials,Toothpaste,14,708.56
1.4.25,1011,Bills,Water,6,360.67
29.6.25,1011,Food Items,Sweets,13,511.81
8.1.26,1011,Grocery,Eggs,10,807.59
21.9.25,1011,Other Essentials,Medicine,11,663.67
16.9.25,1011,Grocery,Sugar,12,975.9
9.10.25,1012,Bills,WiFi,14,623.6
6.10.25,1012,Bills,Water,2,764.65
11.9.25,1012,Grocery,Milk,2,948.7
28.8.25,1012,Food Items,Burger,12,466.37
15.4.25,1013,Other Essentials,Soap,5,102.67
15.1.26,1013,Grocery,Oil,19,195.15
15.7.25,1013,Grocery,Flour,15,229.65
8.3.25,1013,Grocery,Oil,16,158.5
12.2.26,1013,Other Essentials,Soap,17,321.58
11.9.25,1013,Other Essentials,Shampoo,9,26.54
14.2.26,1013,Bills,WiFi,6,91.43
8.3.25,1013,Bills,Gas Cylinder,9,726.55
5.6.25,1013,Food Items,Biscuits,4,630.43
19.10.25,1013,Other Essentials,Toothpaste,10,15.93
13.10.25,1013,Grocery,Sugar,6,261.66
16.3.25,1013,Food Items,Snacks,4,74.62
3.5.25,1013,Bills,Electricity,15,637.64
27.9.25,1013,Other Essentials,Soap,12,264.7
10.12.25,1013,Bills,WiFi,6,134.31
17.7.25,1013,Other Essentials,Toothpaste,19,945.86
20.1.26,1014,Food Items,Biscuits,5,750.43
24.4.25,1014,Other Essentials,Soap,5,190.2
24.8.25,1014,Bills,Gas Cylinder,2,44.7
9.7.25,1014,Bills,Electricity,18,289.36
24.3.25,1014,Bills,Electricity,18,513.52
16.4.25,1014,Other Essentials,Shampoo,9,312.44
4.5.25,1014,Bills,WiFi,1,57.79
24.3.25,1014,Food Items,Sweets,11,628.85
24.2.26,1014,Food Items,Biscuits,12,664.83
28.9.25,1014,Bills,WiFi,14,239.19
2.1.26,1014,Grocery,Vegetables,2,654.38
10.6.25,1014,Grocery,Eggs,14,565.24
9.7.25,1014,Other Essentials,Medicine,2,766.55
3.12.25,1014,Grocery,Rice,9,749.75
19.10.25,1015,Other Essentials,Detergent,8,315.24
20.8.25,1015,Food Items,Burger,7,968.77
9.5.25,1015,Other Essentials,Soap,17,505.4
5.8.25,1015,Food Items,Burger,14,468.23
30.9.25,1015,Grocery,Eggs,8,32.54
26.1.26,1015,Other Essentials,Detergent,3,40.6
18.4.25,1015,Bills,Gas Cylinder,1,962.09
18.4.25,1015,Food Items,Biscuits,4,848.58
29.1.26,1015,Grocery,Flour,4,876.2
7.2.26,1015,Food Items,Burger,7,47.9
19.7.25,1015,Food Items,Pizza,9,828.72
21.8.25,1015,Grocery,Milk,2,491.55
26.11.25,1016,Food Items,Sweets,20,82.58
8.5.25,1016,Bills,Mobile Recharge,19,676.44
9.3.25,1016,Grocery,Vegetables,10,203.86
23.2.26,1016,Grocery,Rice,5,535.11
22.10.25,1016,Food Items,Sweets,5,574.58
6.8.25,1016,Grocery,Sugar,1,126.05
21.5.25,1016,Food Items,Snacks,3,205.36
24.5.25,1017,Grocery,Eggs,9,479.46
17.12.25,1017,Food Items,Biscuits,9,925.93
20.2.26,1017,Grocery,Vegetables,9,937.73
8.7.25,1017,Bills,Electricity,8,369.92
28.1.26,1017,Food Items,Sweets,20,307.54
29.6.25,1017,Food Items,Sweets,17,761.48
21.4.25,1017,Grocery,Oil,9,705.8
22.5.25,1017,Bills,Gas Cylinder,16,376.51
24.5.25,1018,Grocery,Oil,17,156.52
13.5.25,1018,Bills,Mobile Recharge,10,711.03
19.12.25,1018,Food Items,Pizza,15,690.07
14.6.25,1018,Bills,WiFi,11,93.11
12.11.25,1018,Bills,Gas Cylinder,4,67.68
15.3.25,1018,Other Essentials,Soap,3,877.44
1.5.25,1018,Food Items,Pizza,12,936.03
20.10.25,1018,Bills,Water,10,358.47
5.5.25,1019,Bills,Gas Cylinder,3,117.16
1.6.25,1019,Grocery,Milk,11,340.34
4.7.25,1019,Bills,Gas Cylinder,6,366.07
21.6.25,1019,Bills,Mobile Recharge,20,794.25
24.6.25,1019,Other Essentials,Toothpaste,17,947.74
1.5.25,1019,Grocery,Vegetables,6,469.79
4.1.26,1019,Other Essentials,Detergent,20,902.47
21.12.25,1019,Grocery,Rice,8,849.8
3.9.25,1019,Bills,Water,2,726.42
24.10.25,1019,Grocery,Vegetables,8,309.97
31.10.25,1019,Other Essentials,Shampoo,12,337.96
16.5.25,1019,Grocery,Rice,5,910.27
4.7.25,1019,Bills,WiFi,16,480.68
10.11.25,1020,Other Essentials,Soap,5,247.1
23.12.25,1020,Food Items,Snacks,16,419.82
1.6.25,1020,Grocery,Oil,8,940.71
5.12.25,1020,Grocery,Milk,6,74.48
30.3.25,1020,Other Essentials,Toothpaste,17,514.05
25.1.26,1020,Other Essentials,Detergent,9,580.1
28.4.25,1020,Food Items,Juice,17,455.5
20.9.25,1020,Grocery,Eggs,19,117.93
23.2.26,1020,Bills,Electricity,6,448.87
